kind,domain,lean_domain,lean_module,tier,record_count,median_error_pct,coverage_tier,precision_status,labs
core,Acoustics,material,,,485,0.032277,A_strong,target_band,smiles_lab
core,Astronomy,astronomical,,,193,0.0,A_strong,target_band,cosmology_lambda_cdm;cosmology_wave4;cosmology_extended_lab;cosmology_bubble_bleed_lab
core,Astrophysics,astronomical,,,305,0.0005610563516671626,A_strong,target_band,cosmology_wave4;cosmology_extended_lab;cosmology_higher_waves_lab;cosmology_bubble_bleed_lab
core,Atmospheric_Physics,energy,,,17414,0.0,A_strong,target_band,weather_lab;atmospheric_physics_gap_fill_lab
core,Atomic_Physics,particle,,,116,0.0009504134401228516,A_strong,target_band,smiles_lab;nist_atomic_lab
core,Biochemistry,medical,,,166,0.01920113857308633,A_strong,target_band,smiles_lab;neurolab_bio
core,Biology,biological,,,67,0.0,B_verified,target_band,evolution_lab;cellular_lab;neurolab_bio
core,Chemistry,electron,,,99,0.005707,B_verified,target_band,smiles_lab
core,Condensed_Matter,material,,,1169,0.030603154577296784,A_strong,target_band,smiles_lab;species_catalog
core,Cosmology,cosmological,,,347,0.0007354204043789445,A_strong,target_band,cosmology_lambda_cdm;cosmology_extended_lab;cosmology_higher_waves_lab;cosmology_bubble_bleed_lab
core,Ecology,biological,,,654,0.017789000308163706,A_strong,target_band,gbif_ecology_lab;evolution_lab
core,Economics,consciousness,,,167,0.12920090413714938,A_strong,target_band,world_bank_economics_lab;linguistics_lab
core,Electromagnetism,electron,,,271912,0.0,A_strong,target_band,smiles_lab;geomagnetism_lab;space_weather_lab
core,Fluid_Dynamics,energy,,,56,0.0,B_verified,target_band,fluid_dynamics_lab;trinary_fluid_computer
core,Geophysics,energy,,,547,0.0,A_strong,target_band,weather_lab;tectonics_lab;geomagnetism_lab
core,High_Energy_Physics,higgs,,,151,0.003557172593200954,A_strong,target_band,higgs_branching_lab;higgs_mass_lab;cosmology_higher_waves_lab
core,Materials_Science,material,,,1169,0.030603154577296784,A_strong,target_band,smiles_lab;species_catalog
core,Meteorology,energy,,,17414,0.0,A_strong,target_band,weather_lab;meteorology_gap_fill_lab
core,Molecular_Chemistry,chemical,,,608,0.028389499999999998,A_strong,target_band,smiles_lab
core,Neuroscience,neural,,,41,0.013382765569350981,B_verified,target_band,smiles_lab;neuron_cohort_lab
core,Nuclear_Physics,nuclear,,,79,0.0073571309514874035,B_verified,target_band,smiles_lab;blackhole_thesis
core,Oceanography,energy,,,112,0.0,A_strong,target_band,noaa_oceanography_lab;weather_lab
core,Optics,material,,,485,0.032277,A_strong,target_band,smiles_lab
core,Particle_Astrophysics,cmb,,,192,0.004643710259500975,A_strong,target_band,cosmology_wave4;cosmology_extended_lab;cosmology_higher_waves_lab
core,Particle_Physics,particle,,,98,0.0023222644988432507,B_verified,target_band,particle_physics_lab
core,Physical_Chemistry,chemical,,,608,0.028389499999999998,A_strong,target_band,smiles_lab
core,Planetary_Science,galactic,,,50,0.021477424424138976,B_verified,target_band,cosmology_wave4;cosmology_extended_lab
core,Psychology,consciousness,,,170,0.03150616921194593,A_strong,target_band,openalex_psychology_lab;linguistics_lab
core,Quantum_Computing,ai,,,180,0.0002953462072651492,A_strong,target_band,quantum_computing_lab;trinary_os
core,Quantum_Gravity,blackhole,,,141,0.0,A_strong,target_band,blackhole_thesis;cosmology_bubble_bleed_lab
core,Quantum_Mechanics,quantum,,,74,0.0009504134401252401,B_verified,target_band,smiles_lab;nist_quantum_lab
core,Quantum_Optics,quantum,,,74,0.0009504134401252401,B_verified,target_band,smiles_lab;nist_quantum_lab
core,Seismology,energy,,,1000,0.0,A_strong,target_band,seismology_lab;tectonics_lab
core,Sociology,consciousness,,,410,0.019504399572474972,A_strong,target_band,openalex_sociology_lab;world_bank_sociology_lab;linguistics_lab
core,Thermodynamics,energy,,,89,0.02214701353860092,B_verified,target_band,fuel_lab
extension,AI_Galactic_Orbital_Bridge,,FSOT.Formal.AIGalacticOrbitalBridgePriors,48,48,0.005168558627177688,B_verified,,
extension,Acoustic_Resonance_Materials,,FSOT.Formal.AcousticResonanceMaterialsPriors,47,29,0.008381497018411083,B_verified,,
extension,Actuarial_Science_Panel,,FSOT.Formal.ActuarialSciencePriors,82,60,0.02261,B_verified,,
extension,Adjacent_Rung_Coupling,,FSOT.Formal.AdjacentRungCouplingPriors,49,36,0.020098237848404983,B_verified,,
extension,Adversarial_Fractal_Break_Tests,,FSOT.Formal.AdversarialFractalBreakPriors,46,24,0.0,B_verified,,
extension,Agriculture_Agroecology,,FSOT.Formal.AgricultureAgroecologyGapFillPriors,34,276,0.018019024892929635,A_strong,,
extension,Alternate_Base_Mathematics_Explorer_Panel,,FSOT.Formal.AlternateBaseMathematicsExplorerPanelPriors,92,56,0.009504,B_verified,,
extension,Alternate_Base_Mathematics_Spine,,FSOT.Formal.AlternateBaseMathematicsSpinePriors,92,24,0.004184779870129773,B_verified,,
extension,Anthropology,,FSOT.Formal.AnthropologyExtensionPriors,35,160,0.019504399572476606,A_strong,,
extension,Architecture_Building_Science,,FSOT.Formal.ArchitectureBuildingScienceGapFillPriors,34,43,0.07869745016115058,B_verified,,
extension,Arxiv_Brain_Knowledge_Panel,,FSOT.Formal.ArxivBrainKnowledgePanelPriors,88,20,0.018003,B_verified,,
extension,Arxiv_Gravitational_Waves_Panel,,FSOT.Formal.ArxivGravitationalWavesPanelPriors,84,60,0.01748,B_verified,,
extension,Arxiv_Primitives_Panel,,FSOT.Formal.ArxivPrimitivesPanelPriors,88,22,0.031506,B_verified,,
extension,Arxiv_Primitives_V14,,FSOT.Formal.ArxivPrimitivesV14Priors,34,24,0.0,B_verified,,
extension,Astrophysical_Structure_Crosswalk,,FSOT.Formal.AstrophysicalStructureCrosswalkPriors,52,32,0.0,B_verified,,
extension,Bibliography_Corpus_Panel,,FSOT.Formal.BibliographyCorpusPanelPriors,88,24,0.03801653760497401,B_verified,,
extension,Bibliography_Lean_Corpus,,FSOT.Formal.BibliographyLeanCorpusPriors,37,21,0.020055,B_verified,,
extension,Binary_Decoder_Panel,,FSOT.Formal.BinaryDecoderPanelPriors,88,24,0.013342,B_verified,,
extension,Binary_Decoder_Rendlesham,,FSOT.Formal.BinaryDecoderRendleshamPriors,35,24,0.004504756223217969,B_verified,,
extension,Biological_CUDA_Physarum,,FSOT.Formal.BiologicalCudaPhysarumPriors,34,35,0.0,B_verified,,
extension,Biology_Developmental_Structural_Depth_Panel,,FSOT.Formal.BiologyDevelopmentalStructuralDepthPanelPriors,87,26,0.022236,B_verified,,
extension,Biophysics_Public_Panel,,FSOT.Formal.BiophysicsPublicPanelPriors,64,24,0.0,B_verified,,
extension,BlackHole_WhiteHole_Cycle_Live_Panel,,FSOT.Formal.BlackHoleWhiteholeCycleLivePanelPriors,88,24,0.026472,B_verified,,
extension,Botany,,FSOT.Formal.BotanyExtensionPriors,35,426,0.022236250385193387,A_strong,,
extension,Boundary_Partition_Tightening,,FSOT.Formal.BoundaryPartitionTighteningPriors,67,24,0.017672674984670764,B_verified,,
extension,Breakthrough_Discoveries_2024_2026,,FSOT.Formal.BreakthroughDiscoveries20242026Priors,39,21,0.0,B_verified,,
extension,CERN_Open_Data_LHC,,FSOT.Formal.CernOpenDataLhcPriors,38,83,0.013294,B_verified,,
extension,CRC_Handbook_Properties,,FSOT.Formal.CrcHandbookPropertiesPriors,78,391,0.026922,A_strong,,
extension,CVE_Codon_Hole_Falsification,,FSOT.Formal.CVECodonHoleFalsificationPriors,45,29,0.009186636881580057,B_verified,,
extension,Canonical_Oracle_Panel,,FSOT.Formal.CanonicalOraclePanelPriors,88,24,0.013294,B_verified,,
extension,Cardiology,,FSOT.Formal.CardiologyExtensionPriors,41,45,0.030622122938654326,B_verified,,
extension,Cardiology_Panel,,FSOT.Formal.CardiologyPanelPriors,84,20,0.015311,B_verified,,
extension,Cartography_GIS_Panel,,FSOT.Formal.CartographyGisPriors,82,48,0.018855999999999998,B_verified,,
extension,Certified_Agent_Formal_Panel,,FSOT.Formal.CertifiedAgentFormalPanelPriors,88,24,0.014767,B_verified,,
extension,Certified_Agent_Qwen,,FSOT.Formal.CertifiedAgentQwenPriors,35,24,0.004504756223217969,B_verified,,
extension,Chaos_Mediated_Phase_Transitions,,FSOT.Formal.ChaosMediatedPhaseTransitionsPriors,47,21,0.03147898006445882,B_verified,,
extension,Chemical_Engineering,,FSOT.Formal.ChemicalEngineeringExtensionPriors,35,186,0.0010333425185953097,A_strong,,
extension,Chemical_Structure_Stability_Panel,,FSOT.Formal.ChemicalStructureStabilityPanelPriors,57,32,0.00206,B_verified,,
extension,Civil_Engineering,,FSOT.Formal.CivilEngineeringExtensionPriors,41,37,0.0335259880736416,B_verified,,
