# Title: Global Land and Ocean July Average Temperature Departures
# Units: Degrees Celsius
# Base Period: 1901-2000
Year,Departure from Average
1850,0.03
1851,0.13
1852,0.06
1853,0.16
1854,-0.03
1855,-0.17
1856,-0.13
1857,-0.18
1858,-0.11
1859,-0.29
1860,-0.22
1861,-0.17
1862,-0.26
1863,-0.33
1864,-0.13
1865,0.05
1866,-0.06
1867,-0.2
1868,-0.08
1869,-0.14
1870,0
1871,-0.03
1872,-0.07
1873,-0.1
1874,-0.14
1875,-0.13
1876,-0.14
1877,0.17
1878,0.2
1879,-0.09
1880,-0.22
1881,-0.07
1882,-0.2
1883,-0.1
1884,-0.29
1885,-0.18
1886,-0.18
1887,-0.22
1888,-0.03
1889,-0.08
1890,-0.27
1891,-0.21
1892,-0.41
1893,-0.16
1894,-0.17
1895,-0.08
1896,-0.04
1897,-0.07
1898,-0.13
1899,-0.1
1900,-0.1
1901,-0.13
1902,-0.16
1903,-0.34
1904,-0.39
1905,-0.15
1906,-0.11
1907,-0.27
1908,-0.29
1909,-0.39
1910,-0.3
1911,-0.37
1912,-0.34
1913,-0.27
1914,-0.22
1915,0
1916,-0.3
1917,-0.14
1918,-0.25
1919,-0.23
1920,-0.23
1921,-0.11
1922,-0.26
1923,-0.32
1924,-0.29
1925,-0.2
1926,-0.24
1927,-0.16
1928,-0.19
1929,-0.4
1930,-0.06
1931,-0.02
1932,-0.15
1933,-0.27
1934,-0.12
1935,-0.09
1936,-0.01
1937,-0
1938,-0.03
1939,0.08
1940,0.08
1941,0.22
1942,-0.01
1943,0.09
1944,0.12
1945,0.01
1946,-0.02
1947,0.03
1948,0.01
1949,-0.07
1950,-0.05
1951,0.02
1952,0.04
1953,0.01
1954,-0.11
1955,-0.14
1956,-0.12
1957,0.06
1958,0.09
1959,0.05
1960,0.02
1961,0.06
1962,-0
1963,0.06
1964,-0.09
1965,-0.11
1966,0.12
1967,-0.01
1968,-0.07
1969,0.01
1970,0.05
1971,-0.04
1972,0.08
1973,0.13
1974,0.02
1975,0.01
1976,0.02
1977,0.24
1978,0.12
1979,0.11
1980,0.28
1981,0.27
1982,0.2
1983,0.19
1984,0.16
1985,0.03
1986,0.17
1987,0.46
1988,0.34
1989,0.28
1990,0.39
1991,0.48
1992,0.13
1993,0.23
1994,0.31
1995,0.51
1996,0.38
1997,0.41
1998,0.68
1999,0.38
2000,0.4
2001,0.58
2002,0.61
2003,0.54
2004,0.35
2005,0.59
2006,0.54
2007,0.58
2008,0.58
2009,0.71
2010,0.65
2011,0.68
2012,0.61
2013,0.61
2014,0.63
2015,0.75
2016,0.84
2017,0.84
2018,0.82
2019,0.92
2020,0.91
2021,0.89
2022,0.9
2023,1.16
2024,1.18
